MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Latitude,Longitude,TempRange,Month,State_Australian Capital Territory,State_New South Wales,State_Queensland,State_Victoria,WindGustDir_E,WindGustDir_N,WindGustDir_NE,WindGustDir_NW,WindGustDir_S,WindGustDir_SE,WindGustDir_SW,WindGustDir_W,WindDir9am_E,WindDir9am_N,WindDir9am_NE,WindDir9am_NW,WindDir9am_S,WindDir9am_SE,WindDir9am_SW,WindDir9am_W,WindDir3pm_E,WindDir3pm_N,WindDir3pm_NE,WindDir3pm_NW,WindDir3pm_S,WindDir3pm_SE,WindDir3pm_SW,WindDir3pm_W
11.3,26.5,0.0,56.0,19.0,31.0,46.0,26.0,0.99136,0.99008,19.7,25.7,0,0,-36.0737734,146.9135265,15.2,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
9.6,23.9,0.0,41.0,19.0,11.0,44.0,22.0,1.00113,0.99985,14.9,22.1,0,0,-36.0737734,146.9135265,14.299999999999999,1,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
10.5,28.8,0.0,26.0,11.0,7.0,43.0,22.0,1.00538,1.00153,17.1,26.5,0,0,-36.0737734,146.9135265,18.3,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
12.3,34.6,0.0,37.0,6.0,17.0,41.0,12.0,1.00183,0.99709,20.7,33.9,0,0,-36.0737734,146.9135265,22.3,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
12.9,35.8,0.0,41.0,6.0,26.0,41.0,9.0,0.99936,0.996,22.4,34.4,0,0,-36.0737734,146.9135265,22.9,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
13.7,37.9,0.0,52.0,4.0,26.0,33.0,8.0,0.99768,0.99354,23.1,36.8,0,0,-36.0737734,146.9135265,24.2,1,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
16.1,38.9,0.0,57.0,6.0,30.0,34.0,12.0,0.99383,0.98959,25.2,38.4,0,0,-36.0737734,146.9135265,22.799999999999997,1,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
14.0,28.3,0.0,48.0,17.0,24.0,43.0,15.0,0.99867,0.99768,17.9,27.6,0,0,-36.0737734,146.9135265,14.3,1,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
12.5,28.4,0.0,37.0,20.0,9.0,38.0,16.0,1.00449,1.00044,17.2,26.6,0,0,-36.0737734,146.9135265,15.899999999999999,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
17.0,30.8,0.0,37.0,15.0,11.0,36.0,24.0,1.00015,0.99492,20.2,29.3,0,0,-36.0737734,146.9135265,13.8,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
16.9,32.0,0.0,31.0,13.0,17.0,52.0,31.0,0.99669,0.99363,22.8,30.0,0,0,-36.0737734,146.9135265,15.100000000000001,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
17.3,34.7,0.0,35.0,7.0,15.0,48.0,16.0,1.00084,0.99887,24.2,33.2,0,0,-36.0737734,146.9135265,17.400000000000002,1,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
17.2,37.7,0.0,35.0,7.0,17.0,51.0,19.0,1.00242,0.99768,24.3,35.7,0,0,-36.0737734,146.9135265,20.500000000000004,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
17.4,42.6,0.0,39.0,7.0,17.0,40.0,8.0,0.99837,0.99373,25.6,40.3,0,0,-36.0737734,146.9135265,25.200000000000003,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
19.8,32.7,0.0,44.0,20.0,28.0,34.0,28.0,0.99521,0.996,27.6,27.1,0,0,-36.0737734,146.9135265,12.900000000000002,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
14.9,26.7,0.0,56.0,20.0,31.0,46.0,20.0,1.00084,0.99946,18.0,25.5,0,0,-36.0737734,146.9135265,11.799999999999999,1,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
10.5,28.4,0.0,33.0,19.0,11.0,35.0,16.0,1.00637,1.0041,16.0,25.8,0,0,-36.0737734,146.9135265,17.9,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
11.3,32.2,0.0,28.0,17.0,15.0,34.0,17.0,1.00637,1.00291,20.9,30.5,0,0,-36.0737734,146.9135265,20.900000000000002,1,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
13.9,36.6,0.0,39.0,2.0,15.0,39.0,10.0,1.00252,0.99738,22.0,34.4,0,0,-36.0737734,146.9135265,22.700000000000003,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
18.6,39.9,0.0,61.0,9.0,20.0,36.0,21.0,0.99689,0.99166,26.8,37.7,0,0,-36.0737734,146.9135265,21.299999999999997,1,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
